#release	rtl	plasmid	organelle	vertebrate_mammalian	vertebrate_other	invertebrate	plant	fungi	protozoa	microbial	viral	org_only	total
1	0	36	440	3	0	3	2	5	10	249	1053	1325	1801
10	0	320	698	13	1	4	2	14	5	232	1292	1563	2581
11	0	329	739	14	3	4	2	14	5	238	1326	1606	2674
12	0	337	754	16	3	4	2	15	11	263	1374	1688	2779
13	0	342	785	20	3	5	2	16	15	281	1393	1735	2862
14	0	355	806	23	5	5	2	16	15	314	1427	1807	2968
15	0	358	813	23	5	5	2	16	15	330	1446	1842	3013
16	0	364	862	25	5	6	2	16	16	387	1473	1930	3156
17	0	370	874	25	5	6	2	16	16	406	1502	1978	3222
18	0	379	981	26	5	6	2	18	17	424	1542	2040	3400
19	0	387	997	27	5	6	2	18	17	446	1566	2087	3471
2	0	37	461	3	0	3	2	7	11	286	1104	1416	1914
20	0	399	1061	28	5	6	3	19	17	462	1602	2142	3602
21	0	410	1125	28	5	6	3	21	17	505	1630	2215	3750
22	0	417	1164	30	5	7	3	22	18	525	1656	2266	3847
23	0	427	1196	31	5	7	4	23	20	552	1672	2314	3937
24	0	436	1244	32	5	9	4	28	20	598	1731	2427	4107
25	0	446	1280	34	5	10	4	30	23	622	1748	2476	4202
26	0	452	1323	34	5	11	5	31	23	629	1782	2520	4295
27	0	464	1389	34	5	13	6	32	26	673	1809	2598	4451
28	0	473	1417	34	5	13	6	33	27	698	1852	2668	4558
29	1	490	1453	35	5	14	6	36	27	726	1875	2724	4668
3	0	273	491	3	0	3	2	5	4	148	1139	1304	2068
30	1	531	1515	35	5	15	6	37	27	746	1932	2803	4850
31	1	536	1564	35	6	26	6	37	27	773	1968	2878	4979
32	1	545	1628	38	6	27	6	37	28	830	2008	2980	5154
33	1892	560	1702	38	8	27	6	39	30	862	2055	3065	7219
34	1942	571	1776	38	8	26	7	39	32	939	2071	3160	7449
35	2038	577	1859	39	8	26	7	39	32	1050	2102	3303	7777
36	2038	586	1960	39	8	28	8	44	32	1108	2142	3409	7993
37	2170	596	2012	39	8	29	10	50	32	1156	2187	3511	8289
38	2170	619	2050	39	8	29	10	53	32	1196	2207	3574	8413
39	2950	632	2160	39	8	29	10	52	32	1238	2245	3653	9395
4	0	282	523	5	0	3	2	6	4	169	1168	1357	2162
40	2950	641	2232	39	8	29	10	52	32	1261	2254	3685	9508
41	3035	656	2279	39	8	30	10	53	35	1309	2294	3778	9748
42	3063	675	2326	40	8	30	11	55	35	1354	2310	3843	9907
43	3063	677	2359	41	8	30	14	63	36	1396	2334	3922	10021
44	3416	678	2398	41	8	31	15	63	36	1436	2360	3990	10482
45	3416	689	2491	41	8	32	15	64	36	1490	2401	4087	10683
46	3416	703	2556	41	8	32	15	65	36	1564	2435	4196	10871
47	3416	722	2634	41	10	32	15	68	38	1645	2518	4367	11139
48	3416	742	2706	41	10	33	15	69	38	1762	2543	4511	11375
49	7444	749	2778	41	10	35	15	69	38	1815	2562	4585	15556
5	0	283	531	8	0	3	2	7	4	176	1182	1382	2196
50	7444	759	2825	42	11	36	15	69	38	1894	2578	4683	15711
51	7444	765	2887	42	11	36	21	76	38	1996	2619	4839	15935
52	7444	781	2989	42	11	36	18	76	38	2109	2662	4992	16206
53	7444	797	3033	42	11	38	18	76	38	2184	2721	5128	16402
54	7444	814	3099	42	11	39	18	76	38	2282	2746	5252	16609
55	7446	817	3206	44	11	39	18	79	41	2447	2815	5494	16963
56	7596	888	3275	44	11	39	18	80	41	2568	2880	5681	17440
57	7596	932	3436	46	12	39	18	80	41	2720	3062	6018	17982
58	8047	907	3552	46	12	39	19	83	42	2843	3111	6195	18701
59	8047	917	3802	51	12	39	21	83	47	3562	3215	7030	19796
6	0	292	563	8	0	4	2	9	4	183	1207	1417	2272
60	8294	932	3979	56	15	42	23	83	49	4002	3327	7597	20802
61	8303	944	4093	58	18	42	23	83	49	4017	3438	7728	21068
62	8326	958	4294	63	28	42	25	83	54	4656	3493	8444	22022
63	9410	972	4517	65	30	44	31	84	54	4778	3583	8669	23568
64	9412	977	4641	72	33	44	34	91	54	4746	3703	8777	23807
65	11724	978	4810	77	37	44	36	123	54	4742	3839	8952	26464
66	13731	983	4968	81	40	44	39	126	54	6077	3943	10404	30086
67	13980	983	5198	85	45	47	41	133	62	6277	4006	10696	30857
68	14256	1016	5389	85	67	48	46	141	67	6395	4125	10974	31635
69	14256	1018	5668	88	82	48	52	142	68	7153	4277	11910	32852
7	0	298	589	9	1	4	2	13	5	194	1238	1466	2353
70	14504	1099	6122	94	83	64	57	148	70	8062	4478	13056	34781
71	14732	1122	6360	96	85	68	59	149	76	8380	4613	13526	35740
72	14781	1143	6559	97	86	75	60	162	80	7650	4700	12910	35393
73	15053	1151	6813	96	90	82	62	166	82	8103	4782	13463	36480
74	15655	1174	7087	98	94	88	64	173	84	8789	5188	14578	38494
75	15853	1194	7403	99	98	92	64	175	85	8933	5289	14835	39285
76	16359	1233	7682	101	103	95	69	182	85	9269	5380	15284	40558
77	16860	1260	7821	101	104	106	71	189	85	9424	5452	15532	41473
78	17726	1333	7996	104	107	113	73	189	85	10402	5547	16620	43675
79	17723	1357	8334	104	111	123	74	217	86	11326	5855	17896	45310
8	0	301	642	11	1	4	2	13	5	208	1252	1496	2439
80	18454	1397	8647	107	115	126	78	226	86	11951	6291	18980	47478
81	18731	1436	9063	109	117	128	80	233	87	12441	7035	20230	49460
82	18882	1486	9167	110	123	131	82	234	88	13008	7132	20908	50443
83	19850	1514	9789	115	126	134	86	233	88	13603	7272	21657	52810
84	20176	1539	10009	115	127	141	93	235	88	15308	7314	23421	55145
85	20353	1599	10319	117	128	146	94	246	89	15885	7328	24033	56304
86	21230	1628	10523	118	130	151	97	246	89	16269	7332	24432	57813
87	22085	1688	10794	118	134	154	100	237	89	17110	7375	25317	59884
88	23439	1732	11070	120	136	157	101	251	90	17903	7375	26133	62374
89	24636	1751	11381	121	136	160	102	266	90	18454	7384	26713	64481
9	0	313	680	12	1	4	2	13	5	221	1286	1544	2537
90	25524	1805	11635	124	143	160	104	275	90	19835	7932	28663	67627
91	25907	1861	11736	126	147	167	105	279	90	20634	7931	29479	68983
92	26384	1904	12240	129	149	170	108	280	90	21359	7929	30214	70742
93	26774	1967	12391	131	154	174	111	281	90	22407	8321	31669	72801
94	27095	2010	13016	134	160	175	112	286	98	23543	8614	33122	75243
95	27323	2058	13428	135	166	180	112	286	101	24296	9009	34285	77094
96	27456	2123	13807	136	175	183	115	289	101	25304	9010	35313	78699
97	27665	2206	14109	138	178	186	118	294	101	25836	9011	35862	79842
98	27869	2255	14350	138	181	188	120	294	101	26454	9012	36488	80962
99	28234	2332	14475	143	187	189	120	302	101	27596	9012	37650	82691
